"Data","CausaRaiz"
"2026-02-09","Falta de planejamento"
"2026-02-10","Falta de planejamento"
"2026-02-11","Falta de planejamento"
"2026-02-12","Falta de planejamento"
"2026-02-13","Falta de Manutenção Preventiva"
"2026-02-14",NA
"2026-02-15",NA
"2026-02-16","Falta de mão de obra"
"2026-02-17","Falta de Manutenção Preventiva / Falta de mão de obra"
"2026-02-18",NA
"2026-02-19","Falta de planejamento"
"2026-02-20",NA
"2026-02-21",NA
"2026-02-22",NA
"2026-02-23",NA
"2026-02-24","Falta de Manutenção Preventiva"
"2026-02-25","Falta de Manutenção Preventiva"
"2026-02-26",NA
"2026-02-27","Causa Raiz 4"
"2026-02-28",NA
"2026-03-01",NA
"2026-03-02","Falta de planejamento"
"2026-03-03","Falta de Manutenção Preventiva"
"2026-03-04","Falta de Manutenção Preventiva"
"2026-03-05","Falta de Manutenção Preventiva"
"2026-03-06","Falta de Manutenção Preventiva"
"2026-03-07",NA
"2026-03-08",NA
"2026-03-09","Causa Raiz 4"
"2026-03-10",NA
"2026-03-11","Causa Raiz 4"
"2026-03-12","Causa Raiz 4"
"2026-03-13","Causa Raiz 4"
"2026-03-14","Causa Raiz 4"
"2026-03-15","Causa Raiz 4"
"2026-03-16","Causa Raiz 4"
"2026-03-17","Causa Raiz 4"
"2026-03-18","Causa Raiz 4"
"2026-03-19","Causa Raiz 4"
"2026-03-20","Falta de Manutenção Preventiva"
"2026-03-21",NA
"2026-03-22",NA
"2026-03-23",NA
"2026-03-24","Falta de Manutenção Preventiva"
"2026-03-25",NA
"2026-03-26",NA
"2026-03-27",NA
"2026-03-28","Falta de Manutenção Preventiva"
"2026-03-29","Falta de Manutenção Preventiva"
"2026-03-30","Falta de Manutenção Preventiva / Falta de mão de obra"
"2026-03-31","Falta de Manutenção Preventiva"
"2026-04-01","Falta de mão de obra"
"2026-04-02","Falta de mão de obra"
"2026-04-03","Falta de mão de obra"
"2026-04-04","Falta de mão de obra"
"2026-04-05","Falta de mão de obra"
"2026-04-06","Falta de mão de obra"
"2026-04-07","Falta de mão de obra"
"2026-04-08","Falta de Manutenção Preventiva"
"2026-04-09",NA
"2026-04-10","Falta de Manutenção Preventiva"
"2026-04-11","Falta de mão de obra"
"2026-04-12","Falta de Manutenção Preventiva / Falta de mão de obra"
"2026-04-13","Falta de Manutenção Preventiva"
"2026-04-14","Falta de Manutenção Preventiva"
"2026-04-15","Falta de Manutenção Preventiva / Falta de mão de obra"
"2026-04-16","Falta de Manutenção Preventiva"
"2026-04-17",NA
"2026-04-18","Falta de Manutenção Preventiva"
"2026-04-19",NA
"2026-04-20",NA
"2026-04-21",NA
"2026-04-22",NA
"2026-04-23","Falta de planejamento"
"2026-04-24","Falta de Manutenção Preventiva"
"2026-04-25",NA
"2026-04-26",NA
"2026-04-27",NA
"2026-04-28","Falta de mão de obra"
"2026-04-29","Causa Raiz 4"
"2026-04-30","Falta de mão de obra"
"2026-05-01","Falta de planejamento"
"2026-05-02",NA
"2026-05-03",NA
"2026-05-04","Causa Raiz 4"
"2026-05-05","Causa Raiz 4"
"2026-05-06","Causa Raiz 4"
"2026-05-07","Causa Raiz 4"
"2026-05-08",NA
"2026-05-09",NA
"2026-05-10",NA
"2026-05-11","Falta de planejamento"
"2026-05-12",NA
"2026-05-13","Causa Raiz 4 / Falta de planejamento"
"2026-05-14","Falta de mão de obra"
"2026-05-15",NA
"2026-05-16",NA
"2026-05-17",NA
"2026-05-18",NA
"2026-05-19",NA
"2026-05-20",NA
"2026-05-21",NA
"2026-05-22",NA
"2026-05-23","Causa Raiz 4"
"2026-05-24",NA
"2026-05-25",NA
"2026-05-26",NA
"2026-05-27",NA
"2026-05-28","Falta de planejamento"
"2026-05-29","Falta de planejamento"
"2026-05-30",NA
"2026-05-31",NA
